Link,Title,Image
https://asura.gg/manga/the-tutorial-tower-of-the-advanced-player/,The Tutorial Tower of the Advanced Player,https://asura.gg/wp-content/uploads/2021/02/TutorialAdvancedCover01.png
https://asura.gg/manga/the-book-of-lagier/,The Book of Lagier,https://asura.gg/wp-content/uploads/2021/07/bookoflagiercover.png
https://asura.gg/manga/regressor-instruction-manual/,Regressor Instruction Manual,https://asura.gg/wp-content/uploads/2021/10/regressor-cover.jpg
https://asura.gg/manga/rise-of-the-cheat-user/,Rise of The Cheat User,https://asura.gg/wp-content/uploads/2022/10/capa.jpg
https://asura.gg/manga/my-school-life-pretending-to-be-a-worthless-person/,My School Life Pretending To Be a Worthless Person,https://asura.gg/wp-content/uploads/2022/08/myschoollifeCover01.png
https://asura.gg/manga/the-newbie-is-too-strong/,The Newbie is Too Strong,https://asura.gg/wp-content/uploads/2022/06/Strong_Newbie_Cover.jpg
https://asura.gg/manga/worthless-regression/,Worthless Regression,https://asura.gg/wp-content/uploads/2022/03/Worthless_New.jpg
https://asura.gg/manga/my-healing-game/,My Healing Game,https://asura.gg/wp-content/uploads/2022/08/MyHealingGame04.png
https://asura.gg/manga/spirit-farmer/,Spirit Farmer,https://asura.gg/wp-content/uploads/2020/10/poster022.jpg
https://asura.gg/manga/the-live/,The Live,https://asura.gg/wp-content/uploads/2022/04/thelive.jpg
https://asura.gg/manga/i-am-the-fated-villain/,I Am the Fated Villain,https://asura.gg/wp-content/uploads/2021/11/fatedvillain-2.jpg
https://asura.gg/manga/chronicles-of-the-martial-gods-return/,Chronicles Of The Martial God’s Return,https://asura.gg/wp-content/uploads/2022/05/martialreturnCover01.png
https://asura.gg/manga/duke-pendragon/,Duke Pendragon,https://asura.gg/wp-content/uploads/2021/12/Illustration3.jpg
https://asura.gg/manga/the-max-level-hero-has-returned/,The Max Level Hero has Returned!,https://asura.gg/wp-content/uploads/2020/10/maxlevelheroCover01.png
https://asura.gg/manga/existence/,Existence,https://asura.gg/wp-content/uploads/2022/08/kitaresourceimg.jpeg
https://asura.gg/manga/the-lords-coins-arent-decreasing/,The Lord’s Coins Aren’t Decreasing?!,https://asura.gg/wp-content/uploads/2021/04/Cover-2.jpg
https://asura.gg/manga/carnivorous-hunter/,Carnivorous Hunter,https://asura.gg/wp-content/uploads/2022/07/CarniHunterColor02.png
https://asura.gg/manga/a-comic-artists-survival-guide/,A Comic Artist’s Survival Guide,https://asura.gg/wp-content/uploads/2022/04/cover1.jpg
https://asura.gg/manga/overbearing-tyrant/,Overbearing Tyrant,https://asura.gg/wp-content/uploads/2022/05/overtyrantCover01.png
https://asura.gg/manga/the-tutorial-is-too-hard/,The Tutorial is Too Hard,https://asura.gg/wp-content/uploads/2021/01/TheTutorialisTooHardCover02.png
https://asura.gg/manga/the-s-classes-that-i-raised/,The S-Classes That I Raised,https://asura.gg/wp-content/uploads/2021/11/thesclassesthatiraisedcover.jpg
https://asura.gg/manga/standard-of-reincarnation/,Standard of Reincarnation,https://asura.gg/wp-content/uploads/2022/08/standardofReCover03.png
https://asura.gg/manga/my-path-to-killing-gods-in-another-world/,My Path to Killing Gods in Another World,https://asura.gg/wp-content/uploads/2021/06/killinggods.jpg
https://asura.gg/manga/return-of-the-shattered-constellation/,Return Of The Shattered Constellation,https://asura.gg/wp-content/uploads/2021/11/unknown.png
https://asura.gg/manga/the-world-after-the-end/,The World After The End,https://asura.gg/wp-content/uploads/2022/02/the-world-after-the-end-cover.jpg
https://asura.gg/manga/the-novels-extra-remake/,The Novel’s Extra (Remake),https://asura.gg/wp-content/uploads/2022/06/novelextraCover01.png
https://asura.gg/manga/i-obtained-a-mythic-item/,I Obtained a Mythic Item,https://asura.gg/wp-content/uploads/2022/06/IObtainedaMythicItemCover04.png
https://asura.gg/manga/absolute-sword-sense/,Absolute Sword Sense,https://asura.gg/wp-content/uploads/2022/06/swordsenseCover03.png
https://asura.gg/manga/on-my-way-to-kill-god/,On My Way to Kill God,https://asura.gg/wp-content/uploads/2022/09/resource-1.jpeg
https://asura.gg/manga/the-return-of-the-crazy-demon/,The Return of the Crazy Demon,https://asura.gg/wp-content/uploads/2021/07/Crazy_Demon_Cover.jpg
https://asura.gg/manga/my-daughter-is-the-final-boss/,My Daughter is the Final Boss,https://asura.gg/wp-content/uploads/2022/04/daughterbosscover-1.jpg
https://asura.gg/manga/i-reincarnated-as-the-crazed-heir/,I Reincarnated As The Crazed Heir,https://asura.gg/wp-content/uploads/2021/07/Title-Cover-kopya.png
https://asura.gg/manga/warrior-high-school-dungeon-raid-course/,Warrior High School – Dungeon Raid Department,https://asura.gg/wp-content/uploads/2022/10/resource.jpg
